State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
33,TAMIL NADU,2020,12,77360,4010713,78376,66099,2021865,73357,106795,1927534,73356
34,PUDUCHERRY,2020,12,885,31726,787,1769,105988,3105,5004,100923,2631
35,ANDAMAN AND NICOBAR,2020,12,14,377,10,42,143,15,884,9914,221
36,TELANGANA,2020,12,37614,1854590,34629,31187,717017,29056,58453,1213372,36374
37,ANDHRA PRADESH,2020,12,33819,1596380,26567,20906,443449,31178,70916,1133415,33897
38,LADAKH,2020,12,19,206,7,15,36,3,249,1317,51
97,Other Territory,2020,12,7,181,263,25,3709,1154,179,10988,1934
1,JAMMU AND KASHMIR,2020,11,4422,155516,248739,2504,31675,195362,18267,204561,488940
2,HIMACHAL PRADESH,2020,11,7317,242042,455362,4732,234876,954724,21510,288145,815158
3,PUNJAB,2020,11,62030,1561482,3379023,48830,1039072,2379693,64482,859118,2409092
4,CHANDIGARH,2020,11,2052,22864,32814,4716,71435,123840,7679,107161,214916
5,UTTARAKHAND,2020,11,11034,548230,861573,7816,321752,1560078,24404,460788,1221251
6,HARYANA,2020,11,63590,2532590,4530736,56518,2555121,5860900,91086,1720154,5647347
7,DELHI,2020,11,57017,780348,2942427,114261,1467926,3533251,108032,1424121,4099272
8,RAJASTHAN,2020,11,68006,1516218,3262349,46026,1242351,3026736,90200,1146224,3416348
9,UTTAR PRADESH,2020,11,108650,3143553,6121399,73036,1287570,4896349,171678,2256000,6553761
10,BIHAR,2020,11,6572,398976,811893,5820,58956,223464,52675,582778,1433472
11,SIKKIM,2020,11,109,3292,4564,173,5440,236399,1572,26532,77709
12,ARUNACHAL PRADESH,2020,11,111,2410,4491,192,1339,8194,2745,28849,52585
13,NAGALAND,2020,11,99,1204,5173,236,1787,7528,2434,33127,53850
14,MANIPUR,2020,11,49,2322,4520,105,541,1899,2491,41856,63599
15,MIZORAM,2020,11,124,2103,5978,124,756,15586,1700,27970,39003
16,TRIPURA,2020,11,1127,25728,51674,371,2262,25460,3924,35553,78963
17,MEGHALAYA,2020,11,286,11023,19596,389,19307,44034,3200,41779,82231
18,ASSAM,2020,11,10749,416380,755249,8914,197043,621317,23417,273342,871805
19,WEST BENGAL,2020,11,37160,1509845,3760736,35876,680723,2730632,57889,980354,3391617
20,JHARKHAND,2020,11,8299,410151,944902,6999,188465,1150910,24121,333536,1065877
21,ODISHA,2020,11,12900,732619,1455806,5276,234205,1912495,30352,366290,1346777
22,CHHATTISGARH,2020,11,4899,186011,544447,7103,145026,1094152,21609,345381,1176972
23,MADHYA PRADESH,2020,11,15707,449249,936114,18388,363945,1793768,66263,852413,2438870
24,GUJARAT,2020,11,123321,3219972,8493274,120032,3612885,8929394,114959,1433873,6479548
25,DAMAN AND DIU,2020,11,0,0,0,2,18,21,24,122,433
26,DADRA AND NAGAR HAVELI,2020,11,2521,105196,314276,3491,381010,1255449,4823,158766,921938
27,MAHARASHTRA,2020,11,116172,4947545,11472504,98130,3308214,10276963,177294,2428777,9575397
29,KARNATAKA,2020,11,87471,3466912,5676532,45036,1682658,4664636,99581,1500356,4886742
30,GOA,2020,11,1496,69892,105594,1486,57491,390539,6459,100748,338760
31,LAKSHADWEEP,2020,11,0,0,0,0,0,0,41,335,607
32,KERALA,2020,11,36755,1258985,1839796,13321,146518,712263,48321,545359,1452013
33,TAMIL NADU,2020,11,72423,3395230,6410837,62012,1710450,5843869,98639,1519837,5845283
34,PUDUCHERRY,2020,11,878,28872,69318,1727,97223,256239,4860,86968,217899
35,ANDAMAN AND NICOBAR,2020,11,13,403,1279,38,107,1226,829,7938,16353
36,TELANGANA,2020,11,36174,1687251,2912373,30216,605022,2496126,56129,959549,3218827
37,ANDHRA PRADESH,2020,11,31785,1382917,2252436,19954,395427,2748502,67695,878202,2738388
38,LADAKH,2020,11,16,255,716,28,165,2776,697,4826,13836
97,Other Territory,2020,11,8,85,9497,27,3101,85049,150,8916,182223
1,JAMMU AND KASHMIR,2020,10,4508,167249,2657,2749,38569,2394,19560,262654,5834
2,HIMACHAL PRADESH,2020,10,7580,282663,5201,4973,285681,11603,23202,357768,9654
3,PUNJAB,2020,10,63089,1775796,37160,50576,1147070,26651,69619,1011365,27496
4,CHANDIGARH,2020,10,2089,25166,349,4913,84107,1489,8185,126020,2474
5,UTTARAKHAND,2020,10,11391,646246,10017,8229,366695,17748,26357,537536,13923
6,HARYANA,2020,10,66258,2958369,53271,59104,2875220,66885,97313,1983856,65236
7,DELHI,2020,10,59292,902059,32912,120749,1780885,40782,116315,1699294,46359
8,RAJASTHAN,2020,10,72070,1763016,35176,49984,1526897,34010,98817,1322878,37265
9,UTTAR PRADESH,2020,10,112457,3505955,67999,77068,1483076,59901,186772,2665949,75368
10,BIHAR,2020,10,6923,434255,8186,6516,67361,2474,57786,752897,15496
11,SIKKIM,2020,10,110,3292,54,165,5948,2512,1572,27793,883
12,ARUNACHAL PRADESH,2020,10,116,2275,40,196,1200,81,2803,28445,533
13,NAGALAND,2020,10,94,1229,58,235,1738,76,2460,34344,545
14,MANIPUR,2020,10,62,4143,61,127,447,29,2534,51174,720
15,MIZORAM,2020,10,51,522,11,79,274,33,1718,24596,376
16,TRIPURA,2020,10,1072,24077,462,369,2292,227,3921,35630,780
17,MEGHALAYA,2020,10,281,12398,206,410,28597,532,3097,41381,758
18,ASSAM,2020,10,10813,412819,7630,8992,199974,6536,23927,300265,9005
19,WEST BENGAL,2020,10,36903,1439117,37023,36880,718399,27683,58066,981167,35537
20,JHARKHAND,2020,10,8429,421855,9110,7339,198663,11429,25503,377345,10993
21,ODISHA,2020,10,12531,712499,13663,5395,227198,18630,30589,381147,12826
22,CHHATTISGARH,2020,10,5239,222723,5735,7641,168885,11438,23149,396650,12880
23,MADHYA PRADESH,2020,10,16542,492332,9879,19709,433761,18989,72079,982319,26733
24,GUJARAT,2020,10,131622,3851455,94627,128259,4659416,101204,126615,1701829,73945
25,DAMAN AND DIU,2020,10,0,0,0,1,19,0,71,329,8
26,DADRA AND NAGAR HAVELI,2020,10,2647,119326,3679,3596,422568,13491,5000,177975,9933
27,MAHARASHTRA,2020,10,119307,5347095,124117,101749,3743649,112958,187482,2671411,103928
29,KARNATAKA,2020,10,86890,3623539,60389,45212,1715328,49013,102318,1698822,54689
30,GOA,2020,10,1446,67534,1060,1520,60959,4118,6346,98766,3406
31,LAKSHADWEEP,2020,10,0,0,0,1,2,0,40,343,7
32,KERALA,2020,10,36026,1194130,17401,13635,159716,7355,47899,536316,14557
33,TAMIL NADU,2020,10,75893,3797950,71419,64348,1902888,65586,108420,1945885,64013
34,PUDUCHERRY,2020,10,884,33598,852,1742,102654,2834,5244,106770,2486
35,ANDAMAN AND NICOBAR,2020,10,11,397,10,57,192,22,854,8248,165
36,TELANGANA,2020,10,34653,1644295,27735,29378,584821,24768,57661,1037751,34528
37,ANDHRA PRADESH,2020,10,30671,1374389,22563,20028,404381,28358,68087,880180,29065
38,LADAKH,2020,10,27,367,8,37,238,21,954,11244,301
97,Other Territory,2020,10,4,56,77,25,3337,917,165,9490,1832
1,JAMMU AND KASHMIR,2020,9,4211,158726,2531,2577,36160,2427,18226,216025,5599
2,HIMACHAL PRADESH,2020,9,7183,259494,4946,4807,264513,11294,20668,312082,9106
3,PUNJAB,2020,9,58910,1611595,34167,47215,952470,24521,63416,818531,25236
4,CHANDIGARH,2020,9,1996,22650,352,4709,75941,1378,7514,104875,2180
5,UTTARAKHAND,2020,9,10747,577145,9198,7750,333560,16388,23202,467675,12619
6,HARYANA,2020,9,63014,2763620,46971,56933,2680280,62090,91573,1750297,60629
7,DELHI,2020,9,58177,829849,29720,114690,1494148,36303,109889,1373930,41277
8,RAJASTHAN,2020,9,67799,1550864,30925,47086,1249186,30481,89768,1099718,32977
9,UTTAR PRADESH,2020,9,105979,3102026,65288,72941,1315794,58170,168367,2048818,71111
10,BIHAR,2020,9,6156,411536,7980,6208,63424,2468,54117,616033,15201
11,SIKKIM,2020,9,114,2907,48,128,5158,2206,1397,22346,928
12,ARUNACHAL PRADESH,2020,9,116,1608,31,193,1348,95,2638,26630,521
13,NAGALAND,2020,9,89,908,44,229,2309,78,2442,27696,502
14,MANIPUR,2020,9,61,3715,58,97,366,17,2429,41081,641
15,MIZORAM,2020,9,24,724,16,64,353,97,1734,26854,398
16,TRIPURA,2020,9,1011,22864,410,338,2216,224,4027,36317,813
17,MEGHALAYA,2020,9,272,11175,182,375,24179,476,2950,36286,696
18,ASSAM,2020,9,10562,404469,7656,8911,180625,6539,23448,306004,8988
19,WEST BENGAL,2020,9,37747,1487451,37380,36209,661123,26924,57321,1034617,36030
20,JHARKHAND,2020,9,8246,394167,8126,7264,186149,9782,24804,338939,10280
21,ODISHA,2020,9,12505,682802,13131,5340,205447,17849,29661,361041,13414
22,CHHATTISGARH,2020,9,4640,163825,4366,6955,147634,10248,21060,311757,10709
23,MADHYA PRADESH,2020,9,15419,420085,8379,19056,380939,18144,65668,770265,23253
24,GUJARAT,2020,9,123449,3337369,82829,121660,3390931,91511,118345,1546898,66304
25,DAMAN AND DIU,2020,9,0,0,0,1,23,0,77,527,12
26,DADRA AND NAGAR HAVELI,2020,9,2531,112228,3275,3534,380520,12810,4715,163113,8900
27,MAHARASHTRA,2020,9,111097,4742102,108356,96571,3333722,106340,170878,2239770,92747
29,KARNATAKA,2020,9,84300,3380379,56614,44010,1572388,47730,98000,1525588,53558
30,GOA,2020,9,1411,58764,985,1523,59405,4192,5909,91106,3184
31,LAKSHADWEEP,2020,9,0,0,0,1,1,0,40,479,6
32,KERALA,2020,9,34101,1121500,16181,13234,146094,7089,45361,498701,14295
33,TAMIL NADU,2020,9,72829,3512626,68484,62109,1766476,64114,102915,1661161,60591
34,PUDUCHERRY,2020,9,850,31779,1054,1732,98205,2996,4959,92587,2437
35,ANDAMAN AND NICOBAR,2020,9,10,462,17,49,137,14,794,7507,175
36,TELANGANA,2020,9,34395,1616019,27666,29291,572482,25562,56101,1037585,34243
37,ANDHRA PRADESH,2020,9,29561,1311552,23195,19226,392635,27765,64985,778672,29155
38,LADAKH,2020,9,33,566,13,39,234,13,869,10827,294
97,Other Territory,2020,9,3,62,40,23,3087,1075,168,10285,1696
1,JAMMU AND KASHMIR,2020,8,3756,133554,2349,2247,30802,2574,16276,164083,4904
2,HIMACHAL PRADESH,2020,8,6808,227425,4413,4577,236713,10024,19043,273113,7943
3,PUNJAB,2020,8,54659,1423851,30281,42785,750729,21242,59222,746221,22855
4,CHANDIGARH,2020,8,1883,20375,293,4463,68614,1223,7105,90899,1879
5,UTTARAKHAND,2020,8,10156,494022,7886,7273,291351,15329,21063,394590,11132
6,HARYANA,2020,8,59236,2386995,39590,53214,2367294,53612,84934,1424313,50533
7,DELHI,2020,8,52585,699911,25388,105251,1213429,32261,99662,1120962,36035
8,RAJASTHAN,2020,8,63456,1382331,27047,43733,1064905,26737,82763,961522,29933
9,UTTAR PRADESH,2020,8,97010,2691822,58163,65002,1089743,50930,151093,1732296,60897
10,BIHAR,2020,8,5475,386589,7538,5353,54957,2331,47818,494111,13430
11,SIKKIM,2020,8,98,1764,28,129,2844,1133,1279,18993,582
12,ARUNACHAL PRADESH,2020,8,108,1655,31,149,1100,78,2469,22877,458
13,NAGALAND,2020,8,84,727,36,212,1626,61,2119,20493,418
14,MANIPUR,2020,8,45,2096,40,61,233,14,2057,31110,480
15,MIZORAM,2020,8,22,369,12,48,258,76,1565,22521,327
16,TRIPURA,2020,8,970,23974,398,366,2162,323,3694,33386,784
17,MEGHALAYA,2020,8,282,11540,192,363,22296,449,2870,33711,645
18,ASSAM,2020,8,9911,355578,6816,8301,159691,5721,20810,210008,7811
19,WEST BENGAL,2020,8,34177,1305109,32697,32794,542646,23944,51507,779272,29110
20,JHARKHAND,2020,8,7829,342075,7250,6742,168408,9083,22396,268872,8828
21,ODISHA,2020,8,12067,604562,11940,4912,184851,16559,27052,289164,11474
22,CHHATTISGARH,2020,8,4800,160639,4442,6739,136223,9690,20484,305392,12284
23,MADHYA PRADESH,2020,8,14146,355368,7189,17469,314687,15993,60216,666413,20626
24,GUJARAT,2020,8,111345,2704487,69252,111059,2671834,79308,105578,1182103,55187
25,DAMAN AND DIU,2020,8,41,155,6,227,1042,27,480,1703,55
26,DADRA AND NAGAR HAVELI,2020,8,2377,93508,2860,3318,303927,10476,4353,130856,7372
27,MAHARASHTRA,2020,8,102546,4186315,93742,88618,2753847,92019,154375,1846187,81789
29,KARNATAKA,2020,8,79907,3074618,50146,40879,1130772,40655,92449,1362008,45803
30,GOA,2020,8,1320,49613,798,1357,47909,3295,5394,78309,2826
31,LAKSHADWEEP,2020,8,0,0,0,2,3,0,29,202,2
32,KERALA,2020,8,33125,1100502,16137,11871,123633,6419,43962,472998,14097
33,TAMIL NADU,2020,8,68327,3149795,61703,58676,1555376,57002,94033,1330081,52518
34,PUDUCHERRY,2020,8,835,29805,815,1651,83352,2524,4616,79183,2158
35,ANDAMAN AND NICOBAR,2020,8,11,284,14,46,127,19,643,4648,133
36,TELANGANA,2020,8,31640,1422879,24061,27204,535608,22458,51508,776394,28963
37,ANDHRA PRADESH,2020,8,27249,1195714,20539,17547,341166,25080,59359,659884,24972
38,LADAKH,2020,8,21,387,19,31,240,5,714,6971,189
97,Other Territory,2020,8,3,97,113,24,2860,864,132,8866,1850
1,JAMMU AND KASHMIR,2020,7,3853,153002,2601,2252,33468,2706,16919,184344,5265
2,HIMACHAL PRADESH,2020,7,6920,233089,4307,4711,232747,9748,19688,277656,7907
3,PUNJAB,2020,7,54860,1457292,29143,42502,746980,20997,59441,764392,22892
4,CHANDIGARH,2020,7,1921,21406,314,4558,71535,1305,7183,94079,1928
5,UTTARAKHAND,2020,7,10230,478909,7707,7336,297618,14702,21079,392683,11240
6,HARYANA,2020,7,58961,2293309,37570,53252,2320056,51054,84374,1401793,49583
7,DELHI,2020,7,51938,692241,24396,103819,1200672,31490,97198,1075566,34538
8,RAJASTHAN,2020,7,65426,1547579,28845,44371,1077449,26797,84894,996616,30304
9,UTTAR PRADESH,2020,7,98120,2834860,59369,64170,1072686,49689,151516,1746880,59809
10,BIHAR,2020,7,5247,345002,6651,4951,48797,2113,45982,418802,11926
11,SIKKIM,2020,7,92,1756,29,111,3572,1774,1157,16803,618
12,ARUNACHAL PRADESH,2020,7,80,914,17,119,946,54,1719,11514,278
13,NAGALAND,2020,7,78,726,34,188,6053,53,1795,16045,382
14,MANIPUR,2020,7,51,2942,49,71,278,14,2091,35113,542
15,MIZORAM,2020,7,27,577,8,53,198,16,1601,24040,373
16,TRIPURA,2020,7,943,18758,319,304,2265,172,3498,27968,639
17,MEGHALAYA,2020,7,267,8350,152,284,19803,388,2441,26066,590
18,ASSAM,2020,7,9026,256659,5092,6643,123996,5084,19575,182225,7083
19,WEST BENGAL,2020,7,34265,1338247,32260,32916,534102,24529,50613,778184,30342
20,JHARKHAND,2020,7,7897,363653,7286,6736,172583,9108,22806,263088,8996
21,ODISHA,2020,7,11694,636552,12806,4628,188156,16491,27357,293030,17262
22,CHHATTISGARH,2020,7,4775,168982,4669,6853,149544,9693,20898,306301,9951
23,MADHYA PRADESH,2020,7,14710,385283,7635,17952,329813,16216,63036,725961,21152
24,GUJARAT,2020,7,114769,2874099,72713,111084,2581762,81253,105010,1185503,53610
25,DAMAN AND DIU,2020,7,990,26658,711,1574,124260,3286,1999,56540,2336
26,DADRA AND NAGAR HAVELI,2020,7,1208,48638,1653,1859,173660,7339,2613,86236,5029
27,MAHARASHTRA,2020,7,96408,3664582,86912,85352,2619281,88823,146026,1679134,78491
29,KARNATAKA,2020,7,74875,2879267,47161,37085,1044159,39642,87498,1216595,44969
30,GOA,2020,7,1332,50306,871,1365,49562,3696,5310,80684,3139
31,LAKSHADWEEP,2020,7,0,0,0,3,3,0,34,397,6
32,KERALA,2020,7,31710,999542,14496,11276,119590,6210,43229,445196,13251
33,TAMIL NADU,2020,7,66124,2946800,57733,56435,1458438,52722,90528,1205930,49749
34,PUDUCHERRY,2020,7,856,31693,910,1649,81969,2666,4566,77080,2194
35,ANDAMAN AND NICOBAR,2020,7,12,269,10,52,187,24,838,8509,185
36,TELANGANA,2020,7,31714,1468262,24512,26850,526518,21624,52370,792905,32523
37,ANDHRA PRADESH,2020,7,27380,1154842,19303,16991,341569,23259,57749,645563,24116
38,LADAKH,2020,7,20,660,28,25,214,6,718,7116,198
97,Other Territory,2020,7,4,108,135,26,2665,920,161,9423,1845
1,JAMMU AND KASHMIR,2020,6,3512,141971,2448,1978,29589,2530,15777,170913,4952
2,HIMACHAL PRADESH,2020,6,6668,222641,3959,4424,205055,9035,18492,234826,7079
3,PUNJAB,2020,6,52130,1285595,25535,39423,655363,19666,56091,648671,20177
4,CHANDIGARH,2020,6,1787,19451,294,4295,64047,1136,6579,79257,1601
5,UTTARAKHAND,2020,6,9685,390672,6771,6820,254310,13274,20178,323646,9751
6,HARYANA,2020,6,55235,1750591,29672,49298,1758033,42726,78813,1170862,39894
7,DELHI,2020,6,45114,559528,18833,94917,1004940,25697,83966,809404,28160
8,RAJASTHAN,2020,6,61070,1404634,27483,41148,994696,23919,77363,768829,25430
9,UTTAR PRADESH,2020,6,94224,2783317,56003,58372,899373,42938,146613,1571891,51871
10,BIHAR,2020,6,5716,418645,8225,5242,53463,1996,50577,502994,13717
11,SIKKIM,2020,6,112,3072,47,129,4781,2213,1373,22454,760
12,ARUNACHAL PRADESH,2020,6,97,1342,24,156,1201,61,2360,22418,413
13,NAGALAND,2020,6,77,805,36,171,1318,60,1981,18369,396
14,MANIPUR,2020,6,55,2947,48,63,231,10,2124,32185,549
15,MIZORAM,2020,6,16,455,7,55,307,27,1510,20465,308
16,TRIPURA,2020,6,920,21491,338,284,1762,173,3614,30853,893
17,MEGHALAYA,2020,6,272,9247,190,333,21998,412,2641,31096,642
18,ASSAM,2020,6,10063,353331,6265,8279,154010,5178,20303,195405,7378
19,WEST BENGAL,2020,6,32568,1255254,30390,31317,527699,22408,46762,628467,26990
20,JHARKHAND,2020,6,7709,338506,6504,6542,156573,8026,21830,224334,8355
21,ODISHA,2020,6,11840,633067,11508,4620,175303,14849,27557,297669,11698
22,CHHATTISGARH,2020,6,4921,184083,4755,6918,147501,9317,20296,275740,10408
23,MADHYA PRADESH,2020,6,13938,361928,7700,16484,311480,15129,59049,594656,21591
24,GUJARAT,2020,6,105621,2453201,64734,102166,2168602,72725,93804,939238,50438
25,DAMAN AND DIU,2020,6,931,23480,677,1505,104850,3111,1855,48073,2345
26,DADRA AND NAGAR HAVELI,2020,6,1133,41853,1644,1783,148055,6690,2455,73532,4410
27,MAHARASHTRA,2020,6,89631,3314233,79785,78051,2280033,82130,134892,1402289,73182
29,KARNATAKA,2020,6,78053,2940570,48967,37704,970222,37469,87841,1161648,41919
30,GOA,2020,6,1346,50050,785,1302,43463,3448,5454,77126,2908
31,LAKSHADWEEP,2020,6,0,0,0,2,3,0,26,266,4
32,KERALA,2020,6,31008,1039087,14587,11210,113326,6093,41779,446707,12536
33,TAMIL NADU,2020,6,61557,2421600,47233,52250,1216245,45098,83630,973748,40505
34,PUDUCHERRY,2020,6,798,28215,885,1521,68508,2720,4160,63356,2076
35,ANDAMAN AND NICOBAR,2020,6,11,215,13,63,286,46,719,6490,155
36,TELANGANA,2020,6,30755,1349277,23427,26316,501023,21863,50449,698449,26783
37,ANDHRA PRADESH,2020,6,27899,1129620,19487,16735,331355,23213,56152,604864,21903
38,LADAKH,2020,6,9,116,4,15,94,2,531,5416,190
97,Other Territory,2020,6,3,113,52,22,1710,657,125,7003,1550
1,JAMMU AND KASHMIR,2020,5,2388,81513,1668,1166,19189,1841,10800,85674,3466
2,HIMACHAL PRADESH,2020,5,5800,167027,2936,3594,146679,7004,15131,157195,5500
3,PUNJAB,2020,5,42302,811521,16306,28962,385302,14007,42314,353754,14573
4,CHANDIGARH,2020,5,1295,10613,270,3335,39249,707,5107,45359,1236
5,UTTARAKHAND,2020,5,8097,236632,4536,5047,156455,9259,14938,177395,7101
6,HARYANA,2020,5,42804,827137,18579,35525,798764,26049,59128,563877,28382
7,DELHI,2020,5,27345,309880,12117,58852,483095,15841,52181,386119,19351
8,RAJASTHAN,2020,5,42906,855512,18944,27058,448767,16677,48018,338149,17226
9,UTTAR PRADESH,2020,5,61898,1720701,35681,33592,458667,24982,94448,673459,34490
10,BIHAR,2020,5,4856,303367,6591,3632,38510,1445,37319,238664,9586
11,SIKKIM,2020,5,96,2846,50,95,3929,2113,1255,22983,794
12,ARUNACHAL PRADESH,2020,5,107,1947,38,107,875,32,2329,23112,397
13,NAGALAND,2020,5,60,875,33,133,1309,45,1796,19093,370
14,MANIPUR,2020,5,42,2297,37,39,134,6,1788,26532,478
15,MIZORAM,2020,5,16,566,9,37,181,9,1531,26596,364
16,TRIPURA,2020,5,772,16674,227,217,1089,70,2842,21619,548
17,MEGHALAYA,2020,5,232,7731,148,263,22881,432,2096,20310,460
18,ASSAM,2020,5,8986,299148,5418,7360,143722,4347,14600,117250,5756
19,WEST BENGAL,2020,5,17722,603610,16617,16314,249696,14196,27071,235338,17084
20,JHARKHAND,2020,5,5538,195867,4025,4951,107921,5834,14636,110452,5499
21,ODISHA,2020,5,10717,528632,10490,3541,118365,11325,22387,202371,10330
22,CHHATTISGARH,2020,5,4321,162694,4237,5805,123475,8159,15258,166609,7644
23,MADHYA PRADESH,2020,5,9807,207865,5587,10877,194593,11399,38737,296041,14176
24,GUJARAT,2020,5,71141,1465131,45075,53614,800352,52998,53464,475817,37518
25,DAMAN AND DIU,2020,5,750,17242,478,1262,60290,2225,1518,31734,1878
26,DADRA AND NAGAR HAVELI,2020,5,964,25778,1050,1436,82909,4677,1981,52203,3717
27,MAHARASHTRA,2020,5,56234,1851162,52164,44188,999192,52286,84586,741354,55742
29,KARNATAKA,2020,5,64902,2010913,36939,26623,553953,26759,63103,589579,32448
30,GOA,2020,5,1221,49906,762,1021,29943,2950,4643,58774,2714
31,LAKSHADWEEP,2020,5,0,0,0,1,3,0,29,292,4
32,KERALA,2020,5,25819,799929,11217,7997,68060,4354,31927,283186,9861
33,TAMIL NADU,2020,5,49270,1579567,34608,38394,700082,28700,60259,552415,34861
34,PUDUCHERRY,2020,5,721,19144,698,1315,46842,2041,3501,44425,1824
35,ANDAMAN AND NICOBAR,2020,5,7,173,7,40,145,19,432,3048,88
36,TELANGANA,2020,5,23787,928576,17294,17675,305592,17301,34757,338940,19826
37,ANDHRA PRADESH,2020,5,20789,773731,14927,11870,244248,17956,39009,334196,17243
38,LADAKH,2020,5,8,68,5,4,7,0,255,2849,116
97,Other Territory,2020,5,5,140,768,23,1573,849,121,4760,1763
1,JAMMU AND KASHMIR,2020,4,1022,31352,877,374,6654,717,3279,24128,1645
2,HIMACHAL PRADESH,2020,4,2899,51107,999,1789,46746,3446,4768,53214,2654
3,PUNJAB,2020,4,11638,210607,4371,6152,97022,6519,13338,88442,5898
4,CHANDIGARH,2020,4,348,3369,56,945,10911,225,1478,14968,582
5,UTTARAKHAND,2020,4,3666,80391,1898,2236,56679,4154,5369,56024,2997
6,HARYANA,2020,4,11822,212972,5729,9092,226394,10301,18514,149433,9418
7,DELHI,2020,4,7630,140445,4297,12217,135538,5761,13584,140641,7806
8,RAJASTHAN,2020,4,15409,273673,8140,6806,84890,6495,13016,80023,6013
9,UTTAR PRADESH,2020,4,21107,685565,15246,8233,140988,9878,29816,197674,13601
10,BIHAR,2020,4,2545,127062,2776,1537,15235,742,13410,60941,4119
11,SIKKIM,2020,4,58,1700,30,68,4026,2288,429,9208,600
12,ARUNACHAL PRADESH,2020,4,51,720,11,52,245,9,612,4685,118
13,NAGALAND,2020,4,20,82,3,44,284,24,460,3707,170
14,MANIPUR,2020,4,24,779,18,16,47,3,635,5277,201
15,MIZORAM,2020,4,9,114,2,20,89,4,509,3641,108
16,TRIPURA,2020,4,323,5109,80,71,351,16,1051,6624,221
17,MEGHALAYA,2020,4,86,1238,48,87,986,50,730,7406,221
18,ASSAM,2020,4,3202,94658,2114,2643,38758,1873,3887,25678,2346
19,WEST BENGAL,2020,4,7810,305480,9014,5058,82441,7760,8889,69753,9535
20,JHARKHAND,2020,4,2205,84486,1974,2141,38706,2276,4622,39259,3198
21,ODISHA,2020,4,5697,253813,5630,1609,52234,7491,6922,48233,4952
22,CHHATTISGARH,2020,4,1866,42708,1112,2624,38019,3784,4591,54956,4474
23,MADHYA PRADESH,2020,4,3387,55384,1990,4558,66918,6289,11618,77490,6118
24,GUJARAT,2020,4,26738,558958,21574,15391,251014,28170,16834,150025,16897
25,DAMAN AND DIU,2020,4,350,5269,126,607,16113,850,626,9375,626
26,DADRA AND NAGAR HAVELI,2020,4,389,5062,260,645,19351,1784,796,16261,1427
27,MAHARASHTRA,2020,4,21336,677174,23693,14300,252779,23249,27667,223300,25185
29,KARNATAKA,2020,4,19122,652086,12968,7155,136993,10740,16879,129165,13417
30,GOA,2020,4,705,16649,309,417,9927,1738,1399,19887,1074
31,LAKSHADWEEP,2020,4,0,0,0,0,0,0,9,108,1
32,KERALA,2020,4,10562,247827,4160,2390,15478,1531,9978,71823,4630
33,TAMIL NADU,2020,4,11315,397738,10526,9484,129206,8804,16136,116621,12769
34,PUDUCHERRY,2020,4,275,5324,218,483,12837,865,1126,13122,706
35,ANDAMAN AND NICOBAR,2020,4,4,116,5,20,51,9,146,1270,40
36,TELANGANA,2020,4,10107,471500,9009,6818,121629,11327,10749,98747,8569
37,ANDHRA PRADESH,2020,4,10254,359964,7916,4575,78220,10382,13550,117763,8723
38,LADAKH,2020,4,2,10,0,2,2,0,52,336,17
97,Other Territory,2020,4,4,73,44,17,672,227,256,2274,873
1,JAMMU AND KASHMIR,2022,3,6696,248324,465097,3121,40328,293520,21320,260100,782412
2,HIMACHAL PRADESH,2022,3,9519,309769,682180,5880,288685,1356182,23792,343468,1232220
3,PUNJAB,2022,3,72713,1889175,5392048,50998,999380,3552602,74332,1040801,3815462
4,CHANDIGARH,2022,3,2529,31908,58817,5419,92717,213411,8876,142784,342053
5,UTTARAKHAND,2022,3,14035,655157,1282898,9553,394792,2247583,28261,521357,1812707
6,HARYANA,2022,3,79068,2990558,6678339,67590,3497451,9034272,108602,2146976,8844914
7,DELHI,2022,3,76664,1124597,4450971,132210,1885005,5518827,131459,2074617,6446858
8,RAJASTHAN,2022,3,70799,1680460,5168312,54539,1521708,4962382,105328,1493358,6133061
9,UTTAR PRADESH,2022,3,133978,4011376,9718849,88940,1787007,7991591,200674,2927392,10246856
10,BIHAR,2022,3,9238,573471,1279182,8493,106463,414942,62394,849210,2136951
11,SIKKIM,2022,3,150,6824,15401,204,6492,290899,1920,38300,120567
12,ARUNACHAL PRADESH,2022,3,228,4103,10823,277,2333,14137,3546,42069,104714
13,NAGALAND,2022,3,137,3103,9622,339,9051,22164,2704,34865,71317
14,MANIPUR,2022,3,113,4649,12897,142,923,6306,2836,42177,96340
15,MIZORAM,2022,3,57,1711,3182,87,388,2185,2104,33494,67208
16,TRIPURA,2022,3,1623,42648,85767,497,3001,35463,4718,44880,118667
17,MEGHALAYA,2022,3,439,18314,43863,521,44360,104048,3926,54369,136415
18,ASSAM,2022,3,13881,571009,1119917,10913,222266,749982,28433,423566,1375945
19,WEST BENGAL,2022,3,48221,2074633,6014240,43094,970395,4549683,67823,1238976,5311189
